condition,composite,partyid,N,M,SD
0,composite_prejudice_preD,1,22,71.46,15.32
0,composite_prejudice_preD,2,19,34.43,14.04
0,composite_prejudice_postD,1,22,74.15,12.84
0,composite_prejudice_postD,2,19,41.12,15.23
0,composite_prejudice_preR,1,22,16.09,11.07
0,composite_prejudice_preR,2,19,65.78,9.87
0,composite_prejudice_postR,1,22,22.82,13.42
0,composite_prejudice_postR,2,19,66.36,9.94
0,composite_stereotype_preD,1,22,74.94,13.82
0,composite_stereotype_preD,2,19,45.39,11.01
0,composite_stereotype_postD,1,22,75.57,12.25
0,composite_stereotype_postD,2,19,48.36,10.68
0,composite_stereotype_preR,1,22,42.9,13.03
0,composite_stereotype_preR,2,19,60.53,8.08
0,composite_stereotype_postR,1,22,46.31,11.66
0,composite_stereotype_postR,2,19,60.2,10.27
0,composite_discrimination_preD,1,22,77.27,18.75
0,composite_discrimination_preD,2,19,50,8.33
0,composite_discrimination_postD,1,22,73.86,22.46
0,composite_discrimination_postD,2,19,50,8.33
0,composite_discrimination_preR,1,22,35.22,16.65
0,composite_discrimination_preR,2,19,63.16,17.41
0,composite_discrimination_postR,1,22,38.64,18.46
0,composite_discrimination_postR,2,19,61.84,17.41
1,composite_prejudice_preD,1,21,71.25,11.16
1,composite_prejudice_preD,2,17,33.86,16.76
1,composite_prejudice_postD,1,21,77.9,8.28
1,composite_prejudice_postD,2,17,36.97,16.9
1,composite_prejudice_preR,1,21,23.26,17.15
1,composite_prejudice_preR,2,17,63.1,15.74
1,composite_prejudice_postR,1,21,21.69,13.38
1,composite_prejudice_postR,2,17,60.19,13.67
1,composite_stereotype_preD,1,21,72.22,9.42
1,composite_stereotype_preD,2,17,50.86,10.34
1,composite_stereotype_postD,1,21,74.37,10.16
1,composite_stereotype_postD,2,17,51.72,11.39
1,composite_stereotype_preR,1,21,42.56,11.42
1,composite_stereotype_preR,2,17,63.11,8.16
1,composite_stereotype_postR,1,21,42.86,12.54
1,composite_stereotype_postR,2,17,63.73,10.39
1,composite_discrimination_preD,1,21,77.38,20.77
1,composite_discrimination_preD,2,17,50,0
1,composite_discrimination_postD,1,21,80.95,19.21
1,composite_discrimination_postD,2,17,48.53,6.06
1,composite_discrimination_preR,1,21,33.33,21.41
1,composite_discrimination_preR,2,17,63.24,19.99
1,composite_discrimination_postR,1,21,28.57,24.09
1,composite_discrimination_postR,2,17,64.71,21.76
